num,license
4030,PE1836
4031,PE6015
4032,PE4891
4033,PE5963
4034,PE7880
4035,PF469
4036,PE8262
4037,PE7154
4038,PF1805
4039,PF1058
4040,SL2101
4041,SK6779
4042,SK7383
4043,SK7106
4044,SK7907
4045,SK6689
4046,SL3442
4047,SK8763
4048,SL1271
4049,SL5596
4050,SL7651
4051,SM239
4052,UP7046
4053,UR698
4054,UR2181
4055,UR2113
4056,UR1256
4057,UR3099
4058,UR3464
4059,UR5241
4060,UR5209
4061,UR7193
4062,UR6549
4063,US1535
4064,US1049
4065,US9895
4066,US2038
4067,UT708
4068,UT2129
4069,UT3759
4070,UT4021
4071,UT6741
4072,UT8412
4073,UT6903
4074,UT2012
4075,UU3260
4076,UU7152
4077,UU7247
4078,UU7116
4079,UU8967
4080,UU8961
4081,UV2549
4082,UV2562
4083,UV4186
4084,UV9210
4085,UW182
4086,UW1591
4087,UW875
4088,UW4145
4089,UW4190
4090,UW6327
4091,UX167
5500,NF4603
5501,NE7025
5502,NE7587
5503,NF1443
5504,NK3640
5505,NF5206
5506,NF749
5507,NF2977
5508,NF7268
5509,NG1278
5510,NF9053
5511,NG5067
5512,NG4744
5513,NG5568
5514,NG7542
5515,NG8831
5516,NG8873
5517,NH9684
5518,PR8688
5519,PS2561
5520,PS9822
5521,PT195
5522,PT4204
5523,PT3487
5524,PT3614
5525,PT5192
5526,PT6274
5527,PT9446
5528,PT9670
5529,PU1611
5530,PU2259
5531,PU7626
5532,PU6554
5533,PU8554
5534,PU9997
5535,PU9303
5536,PV3691
5537,PV2729
5538,PV3687
5539,PV6102
5540,PV8086
5541,PW126
5542,RK3144
5543,RK3352
5544,RK3757
5545,RK6424
5546,RK5110
5547,RK6188
5548,RK6448
5549,RK6426
5550,RK4924
5551,RK5338
5552,RK4712
5553,RK8369
5554,RK7983
5555,RW7692
5556,RW8285
5557,RW4460
5558,RW2655
5559,RX2010
5560,RX2203
5561,RX1227
5562,RX8749
5563,RX9438
5564,RX9796
5565,RY4236
5566,RY2644
5567,RY5571
5568,RY5083
5569,RY8502
5570,RZ1444
5571,RZ841
5572,RZ3683
5573,RZ3539
5574,RZ2660
5575,RZ4211
5576,RZ5573
5577,RZ5949
5578,RZ6849
5579,RZ8460
5580,SA2087
5581,SA5476
5582,SA4736
5583,TC9833
5584,TD1434
5585,TD2681
5586,TD4317
5587,TD8789
5588,TD9438
5589,TE4013
5590,TE3190
5591,TE5552
5592,TE4641
5593,TE9874
5594,TF207
5595,TF436
5596,TF2813
5597,TF5423
5598,TG5837
5599,TG5224
5600,TA3523
5600,TA3523
5601,TG4950
5602,TH5867
5603,TH7769
5604,TH7230
5605,TH7550
5606,TH9987
5607,TH9726
5608,TJ4109
5609,TK2759
5610,TK2979
5611,TK7806
5612,TL1123
5613,TK8722
5614,TK7923
5615,TL2511
5616,TL4146
5617,TN1298
5618,TN1550
5619,TN6249
5620,TN6244
5621,TN8120
5622,TN8300
5623,TN8263
5624,TN9936
5625,TN9582
5626,TL4982
5627,TP1175
5628,TP1033
5629,TP534
5630,TP4102
5631,TP2955
5632,TP5543
5633,TP7430
5634,TP7725
5635,TP8689
5636,TP6534
5637,TP9051
5638,TR172
5641,TR3625
5642,TR2799
5643,TR2639
5644,TR3947
5645,TR5032
5646,TR4514
5647,TR5542
5648,TR7971
5649,TR7958
5652,TR9241
5653,TS5502
5654,TS5187
5655,TS5907
5656,TT2678
5657,TS7944
5658,TS7255
5659,TS7535
5660,TT3442
5661,TT3500
5662,TT6396
5663,TV5387
5664,TW2499
5665,TW4108
5666,TW3290
5667,TW6401
5668,TW6491
5669,TW8025
5670,TY278
5671,TY214
5672,TY3361
5673,TY3057
5674,TY3185
5675,TY5871
5676,TY6656
5677,TY7384
5678,TY9516
5679,TY9091
5680,TZ2648
5681,TZ2570
5682,TZ8304
5683,TZ5369
5684,TZ7585
5685,TZ7650
5686,TZ8996
5687,UA3495
5688,UA3491
5689,UA3437
5690,UA4832
5691,UC4108
5692,UC2563
5693,UC5414
5694,UC7489
5695,UC7429
5696,UC6947
5697,UD2636
5698,UD3540
5699,UD7829
5700,UD8345
5701,UD9571
5702,UE7040
5703,UE8781
5704,UF1403
5705,UF2613
5706,UF4075
5707,UF6876
5708,UF8143
5709,UF8477
5710,UF6616
5711,UF8210
5712,UF6787
5713,UG2276
5714,UG2023
5715,UG3367
5716,UG4525
5717,UG6283
5718,UG6571
5719,UH488
5720,SL9799
5721,SM894
5722,SM2037
5723,SM693
5724,SM2663
5725,SM3786
5726,SM2745
5727,SM4218
5728,SM4082
5729,SM2686
5730,SM3430
5731,SM8896
5732,SN4212
5733,SN5363
5734,SN4652
5735,SN4799
5736,SN7639
5737,SN6057
5738,SN9378
5739,SN8723
5740,SN8766
5741,SP1625
5742,SP3029
5743,SP2989
5744,SP4717
5745,SP4910
5746,SP5762
5747,SP8116
5748,SP6736
5749,SP7670
5750,VT6080
5751,VT6458
5752,VT6243
5753,VU1773
5754,VU3879
5755,VU2443
5756,VU3725
5757,VU2917
5758,VU2848
5759,VU4865
5760,VU5703
5761,VU6690
5762,VU7617
5763,VU9237
5764,VU7153
5765,VV2513
5766,VV3650
5767,VV3446
5768,VV3404
5769,VV4007
5770,VV5275
5771,VV5219
5772,VV9544
5773,VV9625
5774,VV8684
5775,VW4472
5776,VW2032
5777,VW1575
5778,VW9857
5779,VW9059
5780,VW5084
5781,VW5864
5782,VW9946
5783,VW8564
5784,VX653
5785,VW9910
5786,VX556
5787,VX1817
5788,VX952
5789,VX5855
5790,VX6288
5791,VX5379
5792,VX4935
5793,VX4975
5794,VX6819
5795,VX8475
5796,VX8660
5797,VY274
5798,VX8987
5799,VX9742
5800,VY4453
5801,VY3496
5802,VY3976
5803,VY4151
5804,VY3336
5805,VY3785
5806,VY3054
5807,VY4164
5808,VY3128
5809,VY4208
5810,VY4161
5811,VY5627
5812,VY7133
5813,VY7958
5814,VY6527
5815,VY6549
5816,VY9603
5817,VY8608
5818,VZ2106
5819,VZ1433
5820,VZ621
5821,VZ2855
5822,VZ3314
5823,VZ3947
5824,VZ4448
5825,VZ3431
5826,VZ6034
5827,VZ6472
5828,WA1500
5829,WA2013
5830,WA3855
5831,WA3185
5832,WA4660
5833,WA3755
5834,WA4864
5835,WA6058
5836,WB5921
5837,WA7249
5838,WA9370
5839,WB4285
5840,TJ7651
5841,TJ5879
5842,TJ5561
5843,TK5947
5844,TK6211
5845,TK7131
5846,TK7927
5847,TL2554
5848,TL4446
5849,TL7248
5850,TL7929
5851,TM3092
6100,UM722
6101,UM9384
6102,UM9289
6103,UM8832
6104,UN2037
6105,UN4172
6106,UN3695
6107,UN5466
6108,UN8314
6109,UN7486
6110,UN8045
6111,UN6601
6114,UN8976
6116,UP492
6117,UP3964
6118,UP3854
6119,UP4064
6120,UP3147
6121,UP5175
6122,UP6876
6123,UP8255
6124,UP7085
6125,UR4194
6126,UR3561
6127,UR4614
6128,UR9555
6129,UR7122
6130,UU2902
6131,UU4974
6132,UU7291
6133,UU6122
6134,UV4452
6135,UV3361
6136,UV6410
6137,UV5519
6138,UT9282
6139,UT7510
6140,UT8310
6141,UU6312
6142,UV5497
6143,UV5482
6144,UW5860
6145,UW6263
6146,UW5055
6147,UW4873
6148,UW5167
6149,UW7596
6150,UX689
6151,UX1582
6152,UX2046
6153,UX527
6154,UX3508
6155,UX930
